similarity_rank,cid,prototype,prototype_label,x_center,bar_width,similarity,assigned_prototype,assigned_prototype_label,max_prototype_similarity
36,52915087,6,NP6,35.23428571428571,0.10777142857142856,0.8018889427185059,6,NP6,0.8018889427185059
36,52915087,7,NP7,35.35142857142857,0.10777142857142856,-0.32630085945129395,6,NP6,0.8018889427185059
37,12626668,1,NP1,35.64857142857143,0.10777142857142856,-0.19029498100280762,6,NP6,0.8006173372268677
37,12626668,2,NP2,35.76571428571429,0.10777142857142856,-0.20154684782028198,6,NP6,0.8006173372268677
37,12626668,3,NP3,35.88285714285714,0.10777142857142856,-0.27797940373420715,6,NP6,0.8006173372268677
37,12626668,4,NP4,36.0,0.10777142857142856,-0.1657542735338211,6,NP6,0.8006173372268677
37,12626668,5,NP5,36.11714285714286,0.10777142857142856,0.07818175852298737,6,NP6,0.8006173372268677
37,12626668,6,NP6,36.23428571428571,0.10777142857142856,0.8006173372268677,6,NP6,0.8006173372268677
37,12626668,7,NP7,36.35142857142857,0.10777142857142856,-0.3090799152851105,6,NP6,0.8006173372268677
38,15887311,1,NP1,36.64857142857143,0.10777142857142856,-0.19241702556610107,6,NP6,0.7973729968070984
38,15887311,2,NP2,36.76571428571429,0.10777142857142856,-0.19490496814250946,6,NP6,0.7973729968070984
38,15887311,3,NP3,36.88285714285714,0.10777142857142856,-0.27343788743019104,6,NP6,0.7973729968070984
38,15887311,4,NP4,37.0,0.10777142857142856,-0.1655794233083725,6,NP6,0.7973729968070984
38,15887311,5,NP5,37.11714285714286,0.10777142857142856,0.07226531207561493,6,NP6,0.7973729968070984
38,15887311,6,NP6,37.23428571428571,0.10777142857142856,0.7973729968070984,6,NP6,0.7973729968070984
38,15887311,7,NP7,37.35142857142857,0.10777142857142856,-0.30565232038497925,6,NP6,0.7973729968070984
39,12418354,1,NP1,37.64857142857143,0.10777142857142856,0.797303318977356,1,NP1,0.797303318977356
39,12418354,2,NP2,37.76571428571429,0.10777142857142856,-0.04087764397263527,1,NP1,0.797303318977356
39,12418354,3,NP3,37.88285714285714,0.10777142857142856,0.07001128792762756,1,NP1,0.797303318977356
39,12418354,4,NP4,38.0,0.10777142857142856,-0.17710021138191223,1,NP1,0.797303318977356
39,12418354,5,NP5,38.11714285714286,0.10777142857142856,-0.2500353157520294,1,NP1,0.797303318977356
39,12418354,6,NP6,38.23428571428571,0.10777142857142856,-0.22757212817668915,1,NP1,0.797303318977356
39,12418354,7,NP7,38.35142857142857,0.10777142857142856,0.03355933725833893,1,NP1,0.797303318977356
40,4121732,1,NP1,38.64857142857143,0.10777142857142856,-0.15707221627235413,6,NP6,0.7967953681945801
40,4121732,2,NP2,38.76571428571429,0.10777142857142856,-0.3086533844470978,6,NP6,0.7967953681945801
40,4121732,3,NP3,38.88285714285714,0.10777142857142856,-0.3171599507331848,6,NP6,0.7967953681945801
40,4121732,4,NP4,39.0,0.10777142857142856,-0.17433981597423553,6,NP6,0.7967953681945801
40,4121732,5,NP5,39.11714285714286,0.10777142857142856,0.14996330440044403,6,NP6,0.7967953681945801
40,4121732,6,NP6,39.23428571428571,0.10777142857142856,0.7967953681945801,6,NP6,0.7967953681945801
40,4121732,7,NP7,39.35142857142857,0.10777142857142856,-0.3874720335006714,6,NP6,0.7967953681945801
